snapshot_date,product_id,size_inches,best_price,price_source,color_architecture
2026-03-23,32280,27.0,1599.99,bestbuy,KSF
2026-03-23,32280,27.0,1999.0,rtings,KSF
2026-03-23,32280,27.0,1829.0,rtings,KSF
2026-03-23,32280,27.0,2299.99,bestbuy,KSF
2026-03-23,33691,32.0,599.99,rtings,QD-LCD
2026-03-23,33710,32.0,1299.99,rtings,QD-LCD
2026-03-23,37157,27.0,1094.98,amazon_3p,WOLED
2026-03-23,37853,49.0,1999.0,amazon_3p,QD-OLED
2026-03-23,40848,27.0,304.98,amazon_3p,KSF
2026-03-23,40717,32.0,565.46,amazon,KSF
2026-03-23,40716,27.0,772.32,amazon_3p,KSF
2026-03-23,39860,27.0,584.99,rtings,QD-LCD
2026-03-23,41927,27.0,309.99,amazon_3p,KSF
2026-03-23,37854,57.0,1580.21,amazon,QD-LCD
2026-03-23,38128,27.0,349.0,amazon,KSF
2026-03-23,41611,27.0,279.99,amazon,QD-LCD
2026-03-23,46677,32.0,999.99,bestbuy,QD-OLED
2026-03-23,46678,27.0,596.0,amazon_3p,QD-OLED
2026-03-23,49556,27.0,684.99,amazon_3p,WOLED
2026-03-23,47131,27.0,629.99,bestbuy,QD-OLED
2026-03-23,49534,40.0,2454.41,amazon_3p,KSF
2026-03-23,56054,34.0,696.99,amazon_3p,WOLED
2026-03-23,56054,34.0,899.99,amazon,WOLED
2026-03-23,42065,32.0,1249.0,amazon_3p,QD-OLED
2026-03-23,49551,32.0,1426.36,amazon_3p,WOLED
2026-03-23,63129,27.0,685.0,amazon_3p,QD-OLED
2026-03-23,63127,32.0,1049.99,amazon_3p,QD-OLED
2026-03-23,63127,32.0,999.99,amazon_3p,QD-OLED
2026-03-23,47132,32.0,849.99,amazon,QD-OLED
2026-03-23,47132,32.0,819.99,amazon,QD-OLED
2026-03-23,61784,,587.99,amazon,WOLED
2026-03-23,60445,27.0,259.99,amazon_3p,KSF
2026-03-23,49884,32.0,949.0,amazon,WOLED
2026-03-23,56501,27.0,199.0,amazon,KSF
2026-03-23,49885,27.0,779.0,amazon,WOLED
2026-03-23,64783,34.0,719.99,amazon,QD-OLED
2026-03-23,72294,27.0,669.0,amazon,QD-OLED
2026-03-23,82807,27.0,745.99,amazon,WOLED
2026-03-23,84697,32.0,999.99,bestbuy,QD-OLED
2026-03-23,70557,27.0,449.99,amazon,QD-OLED
2026-03-23,88031,,1099.99,amazon,QD-OLED
2026-03-23,88589,27.0,819.99,bestbuy,KSF
2026-03-23,88590,32.0,779.0,amazon_3p,KSF
2026-03-23,88487,27.0,899.99,bestbuy,QD-OLED
2026-03-23,81301,27.0,699.0,amazon,KSF
2026-03-23,83695,45.0,1416.99,amazon_3p,WOLED
2026-03-23,97969,27.0,199.99,bestbuy,QD-LCD
2026-03-23,96004,34.0,299.99,amazon,KSF
2026-03-23,96306,32.0,319.99,bestbuy,KSF
2026-03-23,88033,27.0,899.99,amazon_3p,QD-OLED
2026-03-23,94531,27.0,496.99,amazon,KSF
2026-03-23,96307,32.0,316.99,amazon_3p,KSF
2026-03-23,94176,34.0,749.99,amazon,QD-OLED
2026-03-23,77245,27.0,399.99,amazon,KSF
2026-03-23,88032,27.0,849.99,amazon,QD-OLED
2026-03-23,94439,27.0,308.99,amazon_3p,KSF
2026-03-23,96735,27.0,271.99,amazon_3p,KSF
2026-03-23,97892,24.0,189.99,rtings,KSF
2026-03-23,113604,42.0,899.99,bestbuy,WOLED
2026-03-23,100486,32.0,949.0,amazon,WOLED
2026-03-23,88588,32.0,609.99,amazon_3p,QD-OLED
2026-03-23,117624,27.0,596.99,amazon,WOLED
2026-03-23,91962,32.0,1049.0,amazon,KSF
2026-03-23,101013,27.0,538.55,amazon_3p,QD-LCD
2026-03-23,101122,27.0,1357.45,amazon_3p,WOLED
2026-03-23,126616,27.0,239.99,amazon_3p,KSF
2026-03-23,96305,27.0,199.99,amazon,KSF
2026-03-23,126131,27.0,223.43,amazon_3p,KSF
2026-03-23,127454,,999.99,amazon,WOLED
2026-03-23,110675,27.0,1099.99,bestbuy,WOLED
